国,クリック数,表示回数,CTR,掲載順位
日本,588,18412,3.19%,5.18
パナマ,2,6,33.33%,3.17
米国,1,181,0.55%,7.97
スペイン,0,18,0%,6.28
ブラジル,0,16,0%,7.5
オーストラリア,0,15,0%,5.2
カナダ,0,14,0%,5
イギリス,0,14,0%,7.36
台湾,0,13,0%,4.85
フランス,0,10,0%,8.6
メキシコ,0,9,0%,5.89
韓国,0,9,0%,6
中国,0,9,0%,6.67
インド,0,9,0%,8.11
ポーランド,0,8,0%,4.62
インドネシア,0,8,0%,7.75
マレーシア,0,8,0%,8.12
タイ,0,6,0%,4.5
イタリア,0,6,0%,5.33
アルゼンチン,0,6,0%,9.5
ベトナム,0,5,0%,3.2
香港,0,4,0%,3
シンガポール,0,3,0%,1.67
ウクライナ,0,3,0%,5.67
オランダ,0,3,0%,6
バングラディッシュ,0,3,0%,8.33
ドイツ,0,3,0%,9.67
コロンビア,0,3,0%,11
フィリピン,0,3,0%,12
ポルトガル,0,2,0%,3.5
コスタリカ,0,2,0%,4
ハンガリー,0,2,0%,4
ニュージーランド,0,2,0%,4.5
トルコ,0,2,0%,5
イスラエル,0,2,0%,7
ネパール,0,2,0%,13
プエルトリコ,0,2,0%,17
ベルギー,0,1,0%,1
ベラルーシ,0,1,0%,1
エチオピア,0,1,0%,1
カザフスタン,0,1,0%,1
ニカラグア,0,1,0%,1
ホンジュラス,0,1,0%,2
セネガル,0,1,0%,2
チェキア,0,1,0%,3
ペルー,0,1,0%,5
アラブ首長国連邦,0,1,0%,8
デンマーク,0,1,0%,8
クウェート,0,1,0%,8
スリランカ,0,1,0%,8
モロッコ,0,1,0%,8
マルタ,0,1,0%,8
ロシア,0,1,0%,9
ウルグアイ,0,1,0%,9
チリ,0,1,0%,10
エクアドル,0,1,0%,10
アルバニア,0,1,0%,11
アイルランド,0,1,0%,12
ルーマニア,0,1,0%,14
スイス連邦,0,1,0%,15
アゼルバイジャン,0,1,0%,22
マリ,0,1,0%,25