日付,クリック数,表示回数,CTR,掲載順位
2026-01-01,6,100,6%,7.2
2026-01-02,5,77,6.49%,7.6
2026-01-03,1,74,1.35%,8.3
2026-01-04,4,85,4.71%,4.6
2026-01-05,2,127,1.57%,4.2
2026-01-06,4,125,3.2%,5.5
2026-01-07,4,105,3.81%,5.7
2026-01-08,2,83,2.41%,5.4
2026-01-09,3,74,4.05%,5.9
2026-01-10,2,130,1.54%,5.5
2026-01-11,7,153,4.58%,7
2026-01-12,8,167,4.79%,5.1
2026-01-13,4,111,3.6%,5
2026-01-14,4,107,3.74%,6.9
2026-01-15,3,87,3.45%,5.8
2026-01-16,5,114,4.39%,5.9
2026-01-17,9,180,5%,4.4
2026-01-18,8,141,5.67%,5.2
2026-01-19,3,109,2.75%,4.9
2026-01-20,3,88,3.41%,5
2026-01-21,6,78,7.69%,5.4
2026-01-22,4,108,3.7%,4.7
2026-01-23,3,127,2.36%,4.6
2026-01-24,1,120,0.83%,4.5
2026-01-25,5,134,3.73%,5
2026-01-26,4,118,3.39%,6.6
2026-01-27,6,96,6.25%,5.3
2026-01-28,4,96,4.17%,4.9
2026-01-29,4,76,5.26%,6.3
2026-01-30,3,99,3.03%,6.3
2026-01-31,7,123,5.69%,7.6
2026-02-01,3,139,2.16%,7.2
2026-02-02,3,128,2.34%,7.8
2026-02-03,6,122,4.92%,6.3
2026-02-04,2,90,2.22%,5.5
2026-02-05,8,108,7.41%,6.6
2026-02-06,0,99,0%,9.7
2026-02-07,5,123,4.07%,5.9
2026-02-08,5,119,4.2%,7.3
2026-02-09,2,91,2.2%,4.3
2026-02-10,9,121,7.44%,6.1
2026-02-11,2,105,1.9%,5.2
2026-02-12,5,84,5.95%,8.2
2026-02-13,3,98,3.06%,5.9
2026-02-14,9,177,5.08%,4.5
2026-02-15,23,231,9.96%,6
2026-02-16,8,181,4.42%,6.4
2026-02-17,2,108,1.85%,4.8
2026-02-18,1,83,1.2%,4.6
2026-02-19,7,100,7%,6
2026-02-20,3,100,3%,5.2
2026-02-21,3,110,2.73%,6.5
2026-02-22,8,197,4.06%,4.8
2026-02-23,9,144,6.25%,5.1
2026-02-24,11,120,9.17%,5
2026-02-25,4,95,4.21%,4.3
2026-02-26,6,121,4.96%,5.3
2026-02-27,2,140,1.43%,4.5
2026-02-28,13,154,8.44%,4.5
2026-03-01,5,102,4.9%,5.2
2026-03-02,11,171,6.43%,4.8
2026-03-03,13,162,8.02%,5
2026-03-04,10,204,4.9%,5
2026-03-05,10,191,5.24%,5
2026-03-06,20,584,3.42%,5.1
2026-03-07,29,1992,1.46%,5.2
2026-03-08,41,2553,1.61%,4.4
2026-03-09,33,1366,2.42%,5
2026-03-10,30,1337,2.24%,5.4
2026-03-11,32,1129,2.83%,4.4
2026-03-12,40,1013,3.95%,5.2
2026-03-13,20,974,2.05%,5.1
2026-03-14,1,170,0.59%,6.9